Accident_Index,1st_Road_Class,1st_Road_Number,2nd_Road_Class,2nd_Road_Number,Accident_Severity,Carriageway_Hazards,Date,Day_of_Week,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Control,Junction_Detail,Latitude,Light_Conditions,Local_Authority_(District),Local_Authority_(Highway),Location_Easting_OSGR,Location_Northing_OSGR,Longitude,LSOA_of_Accident_Location,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Year,InScotland
200501BS00001,A,3218,NA,0,Serious,None,04-01-2005,Tuesday,1,Data missing or out of range,Not at junction or within 20 metres,51.489096,Daylight,Kensington and Chelsea,Kensington and Chelsea,525680,178240,-0.19117,E01002849,1,1,0,1,Metropolitan Police,Wet or damp,Single carriageway,None,30,17:42,Urban,Raining no high winds,2005,No
200501BS00002,B,450,C,0,Slight,None,05-01-2005,Wednesday,1,Auto traffic signal,Crossroads,51.520075,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524170,181650,-0.211708,E01002909,1,1,0,5,Metropolitan Police,Dry,Dual carriageway,None,30,17:36,Urban,Fine no high winds,2005,No
200501BS00003,C,0,NA,0,Slight,None,06-01-2005,Thursday,1,Data missing or out of range,Not at junction or within 20 metres,51.525301,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524520,182240,-0.206458,E01002857,1,2,0,0,Metropolitan Police,Dry,Single carriageway,None,30,00:15,Urban,Fine no high winds,2005,No
200501BS00004,A,3220,NA,0,Slight,None,07-01-2005,Friday,1,Data missing or out of range,Not at junction or within 20 metres,51.482442,Daylight,Kensington and Chelsea,Kensington and Chelsea,526900,177530,-0.173862,E01002840,1,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,10:35,Urban,Fine no high winds,2005,No
200501BS00005,Unclassified,0,NA,0,Slight,None,10-01-2005,Monday,1,Data missing or out of range,Not at junction or within 20 metres,51.495752,Darkness - lighting unknown,Kensington and Chelsea,Kensington and Chelsea,528060,179040,-0.156618,E01002863,1,1,0,0,Metropolitan Police,Wet or damp,Single carriageway,None,30,21:13,Urban,Fine no high winds,2005,No
200501BS00006,Unclassified,0,NA,0,Slight,None,11-01-2005,Tuesday,1,Data missing or out of range,Not at junction or within 20 metres,51.51554,Daylight,Kensington and Chelsea,Kensington and Chelsea,524770,181160,-0.203238,E01002832,1,2,0,0,Metropolitan Police,Wet or damp,Single carriageway,Oil or diesel,30,12:40,Urban,Raining no high winds,2005,No
200501BS00007,C,0,Unclassified,0,Slight,None,13-01-2005,Thursday,1,Give way or uncontrolled,T or staggered junction,51.512695,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,524220,180830,-0.211277,E01002875,1,2,0,0,Metropolitan Police,Dry,Single carriageway,None,30,20:40,Urban,Fine no high winds,2005,No
200501BS00009,A,315,NA,0,Slight,None,14-01-2005,Friday,1,Data missing or out of range,Not at junction or within 20 metres,51.50226,Daylight,Kensington and Chelsea,Kensington and Chelsea,525890,179710,-0.187623,E01002889,2,1,0,0,Metropolitan Police,Dry,Dual carriageway,None,30,17:35,Urban,Fine no high winds,2005,No
200501BS00010,A,3212,B,304,Slight,None,15-01-2005,Saturday,1,Auto traffic signal,Crossroads,51.48342,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527350,177650,-0.167342,E01002900,2,2,0,5,Metropolitan Police,Dry,Single carriageway,None,30,22:43,Urban,Fine no high winds,2005,No
200501BS00011,B,450,C,0,Slight,None,15-01-2005,Saturday,1,Give way or uncontrolled,T or staggered junction,51.512443,Daylight,Kensington and Chelsea,Kensington and Chelsea,524550,180810,-0.206531,E01002875,5,2,0,8,Metropolitan Police,Dry,Single carriageway,None,30,16:00,Urban,Fine no high winds,2005,No
200501BS00012,A,4,B,325,Slight,None,16-01-2005,Sunday,1,Auto traffic signal,Crossroads,51.494902,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526240,178900,-0.182872,E01002835,1,1,0,5,Metropolitan Police,Dry,Single carriageway,None,30,00:42,Urban,Fine no high winds,2005,No
200501BS00014,A,3220,A,308,Slight,None,25-01-2005,Tuesday,1,Auto traffic signal,Crossroads,51.484044,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,526170,177690,-0.184312,E01002912,1,2,0,5,Metropolitan Police,Wet or damp,Single carriageway,None,30,20:48,Urban,Fine no high winds,2005,No
200501BS00015,Unclassified,0,A,3220,Slight,None,11-01-2005,Tuesday,1,Give way or uncontrolled,T or staggered junction,51.491632,Daylight,Kensington and Chelsea,Kensington and Chelsea,525590,178520,-0.192366,E01002849,1,1,0,1,Metropolitan Police,Wet or damp,One way street,None,30,12:55,Urban,Raining no high winds,2005,No
200501BS00016,A,3217,A,3216,Slight,None,18-01-2005,Tuesday,1,Give way or uncontrolled,T or staggered junction,51.492622,Darkness - lights lit,Kensington and Chelsea,Kensington and Chelsea,527990,178690,-0.157753,E01002902,1,2,0,0,Metropolitan Police,Wet or damp,One way street,None,30,05:01,Urban,Raining no high winds,2005,No
200501BS00017,A,4,NA,0,Slight,None,18-01-2005,Tuesday,1,Data missing or out of range,Not at junction or within 20 metres,51.495429,Daylight,Kensington and Chelsea,Kensington and Chelsea,526700,178970,-0.176224,E01002821,2,1,0,0,Metropolitan Police,Dry,Dual carriageway,None,30,11:15,Urban,Fine no high winds,2005,No
200501BS00018,A,3217,Unclassified,0,Slight,None,18-01-2005,Tuesday,1,Give way or uncontrolled,T or staggered junction,51.481912,Daylight,Kensington and Chelsea,Kensington and Chelsea,526460,177460,-0.18022,E01002840,1,1,0,1,Metropolitan Police,Dry,Single carriageway,None,30,10:50,Urban,Fine no high winds,2005,No
